jinyu 20240902

wavelength (microns), Re(eps)
0.727002, 2.32079
0.726766, 2.32081
0.725419, 2.32097
0.725337, 2.32097
0.723913, 2.32114
0.723837, 2.32114
0.722495, 2.3213
0.722254, 2.32132
0.721083, 2.32146
0.720671, 2.32151
0.719676, 2.32162
0.719087, 2.32169
0.718274, 2.32178
0.717504, 2.32187
0.716878, 2.32194
0.71592, 2.32205
0.715488, 2.3221
0.714337, 2.32224
0.714103, 2.32226
0.712753, 2.32242
0.712723, 2.32243
0.711348, 2.32259
0.711169, 2.32261
0.709979, 2.32275
0.709585, 2.3228
0.708615, 2.32291
0.708001, 2.32298
0.707257, 2.32307
0.706417, 2.32317
0.705903, 2.32323
0.704833, 2.32336
0.704555, 2.32339
0.703248, 2.32355
0.703212, 2.32356
0.701874, 2.32372
0.701664, 2.32374
0.700541, 2.32388
0.700079, 2.32393
0.699213, 2.32404
0.698494, 2.32413
0.69789, 2.3242
0.696909, 2.32432
0.696572, 2.32436
0.695324, 2.32451
0.695259, 2.32452
0.693951, 2.32468
0.693739, 2.32471
0.692648, 2.32485
0.692154, 2.32491
0.691349, 2.32501
0.690569, 2.3251
0.690056, 2.32517
0.688983, 2.3253
0.688768, 2.32533
0.687484, 2.32549
0.687397, 2.3255
0.686205, 2.32565
0.685812, 2.3257
0.684931, 2.32581
0.684226, 2.3259
0.683661, 2.32597
0.68264, 2.3261
0.682396, 2.32613
0.681136, 2.32629
0.681054, 2.3263
0.679881, 2.32646
0.679468, 2.32651
0.67863, 2.32662
0.677882, 2.32671
0.677384, 2.32678
0.676295, 2.32692
0.676142, 2.32694
0.674905, 2.3271
0.674709, 2.32712
0.673672, 2.32726
0.673122, 2.32733
0.672444, 2.32742
0.671536, 2.32754
0.671221, 2.32758
0.670001, 2.32774
0.669949, 2.32775
0.668787, 2.3279
0.668362, 2.32796
0.667576, 2.32806
0.666775, 2.32817
0.66637, 2.32822
0.665188, 2.32838
0.665169, 2.32838
0.663971, 2.32854
0.663601, 2.32859
0.662778, 2.3287
0.662013, 2.3288
0.661589, 2.32886
0.660426, 2.32902
0.660405, 2.32902
0.659225, 2.32918
0.658839, 2.32923
0.658049, 2.32934
0.657251, 2.32945
0.656877, 2.3295
0.655709, 2.32966
0.655663, 2.32967
0.654545, 2.32982
0.654075, 2.32988
0.653386, 2.32998
0.652488, 2.3301
0.652231, 2.33014
